name,genre,unitssold
The Brethren,fiction,34992
Assassin's Quest,fiction,34776
Rosemary's Baby,fiction,34776
The Talisman,nonfiction,34776
The Path of Daggers,fiction,34560
The Dharma Bums,children,34560
The Reckoning,fiction,34560
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",fiction,34344
Mary Poppins,fiction,34128
Red Seas Under Red Skies,fiction,34128
The House on Mango Street,fiction,34128
City of Thieves,fiction,34128
Halfway to the Grave,fiction,33912
The Twits,fiction,33696
Abhorsen,nonfiction,33696
The Beach House,fiction,33480
Eyes of the Dragon,nonfiction,33264
Children of Dune,fiction,33264
Leviathan Wakes,nonfiction,33048
Queen of Shadows,fiction,33048
Maus II : And Here My Troubles Began ,nonfiction,32832
The Snowy Day,fiction,32832
To the Nines,fiction,32832
Where We Belong,nonfiction,32616
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,fiction,32616
